tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	averageRating	numVotes
tt0988108	movie	The Class	Klass	0	2007.0	\N	99	Drama	7.9	15410
tt0988595	movie	27 Dresses	27 Dresses	0	2008.0	\N	111	Comedy,Romance	6.1	168319
tt0988849	movie	Donkey Punch	Donkey Punch	0	2008.0	\N	99	Crime,Drama,Horror	5.2	11342
tt0989757	movie	Dear John	Dear John	0	2010.0	\N	108	Drama,Mystery,Romance	6.3	152717
tt0990407	movie	The Green Hornet	The Green Hornet	0	2011.0	\N	119	Action,Comedy,Crime	5.8	162299
tt0991346	movie	Bhoothnath	Bhoothnath	0	2008.0	\N	150	Comedy,Drama,Family	6.3	10275
tt0992911	movie	Flash Point	Dou foh sin	0	2007.0	\N	88	Action,Crime,Thriller	6.7	13459
tt0993840	movie	Army of the Dead	Army of the Dead	0	2021.0	\N	148	Action,Crime,Drama	5.7	177454
tt0993842	movie	Hanna	Hanna	0	2011.0	\N	111	Action,Adventure,Drama	6.8	202016
tt0993846	movie	The Wolf of Wall Street	The Wolf of Wall Street	0	2013.0	\N	180	Biography,Comedy,Crime	8.2	1453101
tt0995031	movie	Bhool Bhulaiyaa	Bhool Bhulaiyaa	0	2007.0	\N	159	Comedy,Horror,Mystery	7.4	29991
tt0995039	movie	Ghost Town	Ghost Town	0	2008.0	\N	102	Comedy,Drama,Fantasy	6.7	75452
tt0995829	movie	XXY	XXY	0	2007.0	\N	86	Drama,Romance	7.0	14574
tt0995868	movie	Pele: Birth of a Legend	Pelé: Birth of a Legend	0	2016.0	\N	107	Biography,Drama,Sport	7.1	19742
tt0997047	movie	College Road Trip	College Road Trip	0	2008.0	\N	83	Adventure,Comedy,Drama	4.3	16365
tt0997152	movie	The Experiment	The Experiment	0	2010.0	\N	96	Drama,Thriller	6.4	55935
tt0997246	movie	The Song of Sparrows	Avaze gonjeshk-ha	0	2008.0	\N	96	Drama,Family	7.9	10781
tt0999913	movie	Straw Dogs	Straw Dogs	0	2011.0	\N	110	Action,Drama,Thriller	5.8	35063
